Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.021,0.011,0.014,0.006,0.012
2,0.025,0.02,0.02,0.028,0.026
3,0.061,0.033,0.047,0.061,0.045
4,0.064,0.052,0.059,0.066,0.065
5,0.073,0.066,0.065,0.081,0.073
6,0.092,0.062,0.083,0.095,0.084
7,0.106,0.086,0.099,0.104,0.119
8,0.111,0.102,0.126,0.101,0.113
9,0.165,0.091,0.172,0.142,0.114
10,0.144,0.111,0.169,0.152,0.14
11,0.173,0.129,0.147,0.182,0.159
12,0.197,0.137,0.193,0.195,0.183
13,0.178,0.129,0.19,0.194,0.195
14,0.214,0.149,0.198,0.217,0.221
15,0.23,0.165,0.221,0.23,0.221
16,0.232,0.196,0.237,0.242,0.239
17,0.252,0.186,0.259,0.267,0.256
18,0.283,0.194,0.299,0.28,0.259
19,0.285,0.211,0.306,0.29,0.264
20,0.29,0.23,0.329,0.332,0.311
21,0.307,0.248,0.302,0.324,0.335
22,0.352,0.262,0.325,0.334,0.311
23,0.362,0.245,0.324,0.307,0.354
24,0.388,0.273,0.38,0.358,0.347
25,0.382,0.289,0.379,0.404,0.408
26,0.404,0.303,0.399,0.398,0.414
27,0.405,0.313,0.411,0.414,0.426
28,0.411,0.312,0.418,0.428,0.46
29,0.439,0.33,0.428,0.444,0.43
30,0.471,0.358,0.475,0.456,0.459
