Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.024,0.019,0.028,0.021,0.022
2,0.052,0.046,0.044,0.037,0.042
3,0.078,0.084,0.075,0.065,0.064
4,0.094,0.081,0.089,0.085,0.101
5,0.107,0.115,0.121,0.114,0.117
6,0.124,0.133,0.124,0.131,0.13
7,0.16,0.157,0.142,0.147,0.152
8,0.173,0.181,0.18,0.178,0.184
9,0.211,0.217,0.211,0.216,0.175
10,0.252,0.229,0.205,0.242,0.25
11,0.251,0.212,0.249,0.269,0.26
12,0.25,0.28,0.266,0.25,0.262
13,0.298,0.267,0.298,0.293,0.271
14,0.3,0.306,0.308,0.326,0.294
15,0.336,0.333,0.319,0.322,0.343
16,0.346,0.355,0.374,0.337,0.366
17,0.365,0.372,0.374,0.405,0.356
18,0.399,0.375,0.403,0.398,0.406
19,0.403,0.452,0.453,0.415,0.436
20,0.426,0.469,0.44,0.457,0.445
21,0.476,0.465,0.438,0.454,0.48
22,0.504,0.453,0.505,0.491,0.486
23,0.513,0.516,0.519,0.517,0.498
24,0.542,0.5,0.547,0.518,0.524
25,0.546,0.585,0.562,0.587,0.586
26,0.554,0.576,0.597,0.601,0.59
27,0.601,0.588,0.595,0.604,0.616
28,0.625,0.602,0.6,0.592,0.639
29,0.617,0.635,0.661,0.676,0.654
30,0.648,0.653,0.657,0.656,0.638
