Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.013,0.009,0.008,0.014,0.017
2,0.025,0.033,0.03,0.03,0.028
3,0.043,0.035,0.052,0.049,0.044
4,0.053,0.067,0.064,0.066,0.047
5,0.071,0.078,0.067,0.08,0.074
6,0.089,0.099,0.101,0.088,0.084
7,0.105,0.097,0.101,0.11,0.119
8,0.132,0.127,0.138,0.11,0.126
9,0.147,0.142,0.142,0.131,0.131
10,0.147,0.159,0.169,0.15,0.181
11,0.172,0.163,0.168,0.157,0.168
12,0.198,0.191,0.16,0.167,0.166
13,0.192,0.202,0.19,0.201,0.205
14,0.225,0.227,0.22,0.2,0.229
15,0.217,0.227,0.251,0.23,0.219
16,0.245,0.249,0.262,0.253,0.256
17,0.257,0.274,0.272,0.279,0.253
18,0.285,0.297,0.271,0.276,0.268
19,0.28,0.256,0.3,0.282,0.31
20,0.322,0.291,0.321,0.289,0.313
21,0.301,0.334,0.307,0.343,0.291
22,0.33,0.351,0.352,0.327,0.335
23,0.331,0.318,0.359,0.38,0.356
24,0.378,0.362,0.382,0.359,0.39
25,0.373,0.383,0.396,0.403,0.362
26,0.409,0.421,0.367,0.394,0.405
27,0.404,0.422,0.402,0.43,0.399
28,0.403,0.445,0.411,0.431,0.449
29,0.457,0.469,0.432,0.448,0.473
30,0.464,0.461,0.447,0.488,0.463
