Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.018,0.014,0.013,0.018,0.011
2,0.038,0.037,0.036,0.041,0.033
3,0.041,0.041,0.044,0.041,0.046
4,0.071,0.046,0.048,0.075,0.059
5,0.063,0.074,0.078,0.077,0.084
6,0.089,0.103,0.093,0.106,0.088
7,0.098,0.118,0.122,0.12,0.102
8,0.117,0.118,0.112,0.129,0.103
9,0.128,0.136,0.137,0.135,0.124
10,0.165,0.165,0.146,0.152,0.153
11,0.171,0.175,0.191,0.166,0.185
12,0.171,0.215,0.182,0.179,0.175
13,0.179,0.192,0.191,0.182,0.211
14,0.214,0.192,0.222,0.236,0.227
15,0.238,0.246,0.228,0.22,0.219
16,0.27,0.252,0.266,0.234,0.236
17,0.26,0.267,0.245,0.291,0.247
18,0.286,0.272,0.286,0.276,0.293
19,0.285,0.312,0.291,0.311,0.295
20,0.294,0.306,0.294,0.295,0.275
21,0.308,0.326,0.325,0.309,0.327
22,0.354,0.349,0.329,0.341,0.353
23,0.334,0.367,0.381,0.35,0.329
24,0.36,0.36,0.355,0.377,0.374
25,0.374,0.403,0.392,0.366,0.386
26,0.385,0.396,0.424,0.407,0.388
27,0.411,0.4,0.422,0.418,0.413
28,0.433,0.425,0.398,0.44,0.433
29,0.439,0.427,0.446,0.441,0.436
30,0.464,0.462,0.475,0.458,0.452
